	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
30	-2.23495	14.06748	29.97500	6.18336	-19.95044	-165.37283	8.87247	0.78015	89.08741	-5.80979	-14.91501	-82.89464	-5.43373	15.38750	-143.10593	-2.94427	-5.76033	-89.54483	-7.43344	-0.68079	4.41159
31	-2.24923	14.06959	30.00639	6.18414	-19.94742	-165.36821	8.87143	0.78076	89.08733	-5.80998	-14.91135	-82.88115	-5.43050	15.38163	-143.11452	-2.94040	-5.76358	-89.54472	-7.41556	-0.68455	4.39402
32	-2.26383	14.07136	30.03872	6.18512	-19.94434	-165.36414	8.87099	0.78169	89.08717	-5.81013	-14.90803	-82.86839	-5.42739	15.37637	-143.12306	-2.93716	-5.76671	-89.54452	-7.39769	-0.68804	4.37629
33	-2.27876	14.07285	30.07208	6.18630	-19.94114	-165.36060	8.87113	0.78294	89.08693	-5.81017	-14.90498	-82.85614	-5.42444	15.37172	-143.13153	-2.93467	-5.76965	-89.54424	-7.37985	-0.69135	4.35821
34	-2.29404	14.07414	30.10659	6.18767	-19.93776	-165.35754	8.87185	0.78451	89.08659	-5.81008	-14.90212	-82.84426	-5.42167	15.36768	-143.13988	-2.93304	-5.77234	-89.54388	-7.36201	-0.69458	4.33961
35	-2.30967	14.07531	30.14233	6.18923	-19.93416	-165.35495	8.87310	0.78641	89.08617	-5.80981	-14.89936	-82.83253	-5.41914	15.36425	-143.14804	-2.93237	-5.77472	-89.54344	-7.34418	-0.69780	4.32032
36	-2.32566	14.07644	30.17941	6.19095	-19.93029	-165.35284	8.87482	0.78862	89.08567	-5.80931	-14.89663	-82.82078	-5.41689	15.36140	-143.15594	-2.93273	-5.77675	-89.54295	-7.32636	-0.70111	4.30019
37	-2.34202	14.07759	30.21789	6.19282	-19.92612	-165.35117	8.87691	0.79113	89.08511	-5.80856	-14.89385	-82.80885	-5.41495	15.35911	-143.16351	-2.93419	-5.77839	-89.54239	-7.30854	-0.70456	4.27913
38	-2.35873	14.07883	30.25785	6.19481	-19.92163	-165.34991	8.87930	0.79393	89.08447	-5.80753	-14.89098	-82.79659	-5.41335	15.35735	-143.17065	-2.93676	-5.77963	-89.54178	-7.29074	-0.70823	4.25706
39	-2.37579	14.08021	30.29930	6.19690	-19.91678	-165.34897	8.88191	0.79702	89.08379	-5.80620	-14.88794	-82.78389	-5.41210	15.35609	-143.17729	-2.94044	-5.78049	-89.54112	-7.27298	-0.71213	4.23393
